model,prefill,budget,acceptance_rate,avg_generated_token
7b-128k,4000,0.1,0.8351063829787234,3.3404255319148937
7b-128k,4000,0.1,0.8478260869565217,3.391304347826087
7b-128k,4000,0.1,0.8586956521739131,3.4347826086956523
7b-128k,4000,0.1,0.8611111111111112,3.4444444444444446
7b-128k,4000,0.1,0.8072916666666666,3.2291666666666665
7b-128k,4000,0.1,0.8191489361702128,3.276595744680851
7b-128k,4000,0.1,0.7916666666666666,3.1666666666666665
7b-128k,4000,0.1,0.8351063829787234,3.3404255319148937
7b-128k,4000,0.1,0.8611111111111112,3.4444444444444446
7b-128k,4000,0.1,0.6607142857142857,2.642857142857143
7b-128k,4000,0.1,0.8072916666666666,3.2291666666666665
7b-128k,4000,0.1,0.9090909090909091,3.6363636363636362
7b-128k,4000,0.1,0.8020833333333334,3.2083333333333335
7b-128k,4000,0.1,0.8977272727272727,3.590909090909091
7b-128k,4000,0.1,0.8351063829787234,3.3404255319148937
7b-128k,4000,0.1,0.8138297872340425,3.25531914893617
7b-128k,4000,0.1,0.842391304347826,3.369565217391304
7b-128k,4000,0.1,0.8532608695652174,3.4130434782608696
7b-128k,4000,0.1,0.8138297872340425,3.25531914893617
7b-128k,4000,0.1,0.9090909090909091,3.6363636363636362
7b-128k,4000,0.1,0.8920454545454546,3.5681818181818183
7b-128k,4000,0.1,0.8072916666666666,3.2291666666666665
7b-128k,4000,0.1,0.9127906976744186,3.6511627906976742
7b-128k,4000,0.1,0.842391304347826,3.369565217391304
7b-128k,4000,0.1,0.8586956521739131,3.4347826086956523
7b-128k,4000,0.1,0.77,3.08
7b-128k,4000,0.1,0.7908163265306123,3.163265306122449
7b-128k,4000,0.1,0.7352941176470589,2.9411764705882355
7b-128k,4000,0.1,0.7704081632653061,3.0816326530612246
7b-128k,4000,0.1,0.8297872340425532,3.3191489361702127
7b-128k,4000,0.1,0.8586956521739131,3.4347826086956523
7b-128k,4000,0.1,0.796875,3.1875
7b-128k,4000,0.1,0.9034090909090909,3.6136363636363638
7b-128k,4000,0.1,0.8020833333333334,3.2083333333333335
