prefill,gamma,token/s,acceptance_rate,avg_token
128000,8,13.57960034707383,0.7543103448275862,6.0344827586206895
128000,8,16.276296381837373,0.75,6.0
64000,4,17.660426400825422,0.755,3.02
64000,4,21.718324683699333,0.8863636363636364,3.5454545454545454
64000,4,18.047059371628738,0.6898148148148148,2.759259259259259
128000,4,13.629785073631838,0.8666666666666667,3.466666666666667
64000,4,22.778605993148087,0.936046511627907,3.744186046511628
64000,4,21.011750707760605,0.842391304347826,3.369565217391304
128000,4,16.653447253474,0.9090909090909091,3.6363636363636362
64000,4,20.826845751711588,0.8297872340425532,3.3191489361702127
64000,4,21.131777858804806,0.8722222222222222,3.488888888888889
64000,4,19.98597080820715,0.8138297872340425,3.25531914893617
128000,4,17.236725250618804,0.9523809523809523,3.8095238095238093
64000,4,21.007682047194574,0.8586956521739131,3.4347826086956523
64000,4,20.067136657585305,0.8072916666666666,3.2291666666666665
128000,4,13.859755945537353,0.7115384615384616,2.8461538461538463
64000,4,20.528733600184555,0.8191489361702128,3.276595744680851
64000,4,21.187599067594427,0.8532608695652174,3.4130434782608696
64000,4,20.541649522317602,0.8369565217391305,3.347826086956522
128000,4,13.874914672093059,0.7122641509433962,2.849056603773585
64000,4,19.084195927725947,0.77,3.08
64000,4,21.561284189334554,0.9127906976744186,3.6511627906976742
128000,4,14.770729271543159,0.7755102040816326,3.1020408163265305
64000,4,16.963009124863166,0.6271929824561403,2.508771929824561
64000,4,21.784334848308195,0.8777777777777778,3.511111111111111
64000,4,20.58980306721158,0.8138297872340425,3.25531914893617
128000,4,15.924474956953382,0.8532608695652174,3.4130434782608696
64000,4,19.503668591405972,0.76,3.04
64000,4,21.937394442517274,0.8833333333333333,3.533333333333333
128000,4,16.196788527775606,0.8722222222222222,3.488888888888889
64000,4,21.42029620580195,0.8586956521739131,3.4347826086956523
64000,4,21.72916374726804,0.9090909090909091,3.6363636363636362
64000,4,21.04344116896751,0.8478260869565217,3.391304347826087
128000,4,16.975621633452874,0.9404761904761905,3.761904761904762
64000,4,21.511453194290482,0.8666666666666667,3.466666666666667
64000,4,21.426059533609298,0.8722222222222222,3.488888888888889
128000,4,12.849449282926173,0.6428571428571429,2.5714285714285716
64000,4,18.456326032494772,0.7115384615384616,2.8461538461538463
64000,4,20.056064908507857,0.796875,3.1875
64000,4,19.94564488393557,0.8020833333333334,3.2083333333333335
128000,4,15.765160759627625,0.842391304347826,3.369565217391304
64000,4,19.367657762636817,0.7755102040816326,3.1020408163265305
64000,4,20.76671517675777,0.8297872340425532,3.3191489361702127
128000,4,16.62202880870995,0.9034090909090909,3.6136363636363638
64000,4,22.735054545653604,0.9244186046511628,3.697674418604651
64000,4,21.747726350306365,0.9034090909090909,3.6136363636363638
